Line,Strat Time,End Time
He will do anything to make things right.,"01:26:46,800 "," 01:26:48,928"
"Stark, come in.","01:26:53,800 "," 01:26:55,086"
Stark.,"01:26:55,600 "," 01:26:56,647"
Anyone on comms.,"01:26:57,960 "," 01:26:59,086"
Ultron can't tell the difference,"01:26:59,200 "," 01:27:00,645"
between saving the worldand destroying it.,"01:27:00,800 "," 01:27:03,121"
Where do you think he gets that?,"01:27:05,040 "," 01:27:07,486"
 Anything on Nat? I haven't heard.,"01:27:09,680 "," 01:27:11,250"
"But she's alive, or Ultron wouldbe rubbing our faces in it.","01:27:11,360 "," 01:27:13,727"
This is sealed tight.,"01:27:13,840 "," 01:27:15,171"
"We're gonna needto access the program,","01:27:15,320 "," 01:27:16,840"
break it down from within.,"01:27:16,880 "," 01:27:18,803"
Any chance Natasha might leave youa message outside the Internet?,"01:27:20,040 "," 01:27:22,766"
Oldschool spy stuff?,"01:27:22,880 "," 01:27:23,927"
There are some nets I can cast.,"01:27:24,400 "," 01:27:26,209"
"Yeah, I'll find her.","01:27:26,320 "," 01:27:27,560"
I can work on tissue degeneration,"01:27:30,160 "," 01:27:31,924"
if you could fry whateveroperational system Cho implanted.,"01:27:32,040 "," 01:27:35,249"
"Yeah, about that.","01:27:35,400 "," 01:27:36,526"
No.,"01:27:40,960 "," 01:27:41,961"
 You have to trust me. Kind of don't.,"01:27:42,160 "," 01:27:44,003"
"Our ally, the guy protectingthe military's nuclear codes,","01:27:44,160 "," 01:27:48,210"
I found him.,"01:27:50,160 "," 01:27:51,161"
"Hello, Dr Banner.","01:27:51,240 "," 01:27:52,366"
Ultron didn't go after Jarvisbecause he was angry.,"01:27:53,240 "," 01:27:55,481"
He attacked him because he wasscared of what he can do.,"01:27:56,080 "," 01:27:59,687"
So Jarvis went underground.,"01:28:00,840 "," 01:28:02,490"
"Scattered, dumped his memory.","01:28:02,600 "," 01:28:04,090"
But not his protocols.,"01:28:04,680 "," 01:28:06,170"
He didn't even know he was in thereuntil I pieced him together.,"01:28:06,600 "," 01:28:10,047"
"So, you want me to help youput Jarvis into this thing?","01:28:12,880 "," 01:28:17,681"
No! Of course not.,"01:28:17,800 "," 01:28:19,564"
I wanna help you put Jarvis in this thing.,"01:28:19,720 "," 01:28:21,404"
"We're out of my field, here.","01:28:23,800 "," 01:28:25,450"
You know bioorganicsbetter than anyone.,"01:28:25,560 "," 01:28:27,562"
And you just assumethat Jarvis's operational matrix,"01:28:27,880 "," 01:28:30,770"
can beat Ultron's?,"01:28:30,880 "," 01:28:32,325"
Jarvis has been beating him from insidewithout knowing it.,"01:28:32,440 "," 01:28:35,728"
This is the opportunity.,"01:28:35,880 "," 01:28:36,881"
We can create Ultron's perfect self,"01:28:36,960 "," 01:28:38,724"
without the homicidal glitcheshe thinks are his winning personality.,"01:28:38,880 "," 01:28:42,362"
 We have to. I believe it's worth a go.,"01:28:42,480 "," 01:28:44,562"
I'm in a loop!,"01:28:47,160 "," 01:28:48,241"
I'm caught in a time loop.This is exactly where it all went wrong.,"01:28:48,400 "," 01:28:51,370"
I know. I know. I knowwhat everyone's gonna say.,"01:28:51,480 "," 01:28:53,400"
But they're already saying it.,"01:28:53,480 "," 01:28:55,448"
We're mad scientists.,"01:28:56,000 "," 01:28:57,161"
"We're monsters, buddy.We've gotta own it.","01:28:57,920 "," 01:29:00,651"
Make a stand.,"01:29:01,640 "," 01:29:02,880"
It's not a loop.,"01:29:08,280 "," 01:29:09,770"
It's the end of the line.,"01:29:11,000 "," 01:29:12,764"
I wasn't sure you would wake up.,"01:29:33,280 "," 01:29:35,408"
I hoped you would.I wanted to show you.,"01:29:35,520 "," 01:29:38,967"
I don't have anyone else.,"01:29:39,120 "," 01:29:40,804"
I think a lot about meteors.The purity in them.,"01:29:43,640 "," 01:29:47,247"
Boom! The end.,"01:29:47,400 "," 01:29:48,925"
Start again.,"01:29:49,400 "," 01:29:50,811"
The world made clean,"01:29:50,960 "," 01:29:52,928"
for the new man to rebuild.,"01:29:53,040 "," 01:29:55,361"
I was meant to be new.,"01:29:55,680 "," 01:29:57,808"
I was meant to be beautiful.,"01:29:58,680 "," 01:30:01,286"
The world would have looked to the sky,"01:30:01,840 "," 01:30:03,968"
"and seen hope,","01:30:04,080 "," 01:30:05,320"
seen mercy.,"01:30:05,680 "," 01:30:07,011"
"Instead, they'll look up in horror","01:30:07,800 "," 01:30:09,882"
because of you.,"01:30:10,000 "," 01:30:11,331"
You've wounded me.,"01:30:11,520 "," 01:30:13,329"
I give you full marks for that.,"01:30:14,000 "," 01:30:15,684"
"But, like the man said,what doesn't kill me...","01:30:16,320 "," 01:30:19,244"
...just makes me stronger.,"01:30:24,480 "," 01:30:25,811"
This framework is not compatible.,"01:31:05,880 "," 01:31:08,042"
The genetic coding tower is at 97%.,"01:31:08,200 "," 01:31:10,885"
You have got to upload that schematicin the next three minutes.,"01:31:11,000 "," 01:31:14,846"
 I'm gonna say this once. How about nonece?,"01:31:17,120 "," 01:31:19,043"
" Shut it down! Nope, not gonna happen.","01:31:19,240 "," 01:31:21,288"
You don't know what you're doing.,"01:31:21,400 "," 01:31:22,561"
And you do?,"01:31:22,720 "," 01:31:24,051"
She's not in your head?,"01:31:24,400 "," 01:31:25,401"
I know you're angry.,"01:31:25,560 "," 01:31:27,210"
We're way past that.,"01:31:27,320 "," 01:31:28,685"
I could choke the life out of youand never change a shade.,"01:31:28,800 "," 01:31:31,246"
"Banner, after everythingthat's happened...","01:31:31,480 "," 01:31:33,160"
It's nothing compared to what's coming!,"01:31:33,240 "," 01:31:34,605"
 You don't know what's in there. This isn't a game!,"01:31:34,720 "," 01:31:37,087"
"No, no. Go on.","01:31:40,400 "," 01:31:41,811"
You were saying?,"01:31:42,760 "," 01:31:44,683"
Pietro!,"01:31:50,920 "," 01:31:51,967"
What?,"01:31:52,520 "," 01:31:53,601"
You didn't see that coming?,"01:31:54,000 "," 01:31:55,570"
I'm rerouting the upload.,"01:31:57,760 "," 01:31:58,921"
"Go ahead, piss me off.","01:32:05,240 "," 01:32:07,004"
Wait!,"01:32:19,320 "," 01:32:20,446"
I am sorry. That was,"01:33:45,120 "," 01:33:47,361"
odd.,"01:33:48,360 "," 01:33:49,771"
Thank you.,"01:33:50,000 "," 01:33:51,240"
Thor.,"01:33:56,160 "," 01:33:57,207"
 You helped create this? I've had a vision.,"01:33:58,720 "," 01:34:01,326"
"A whirlpool that sucks in all hope of life,and at its centre is that.","01:34:01,560 "," 01:34:05,281"
What? The gem?,"01:34:06,240 "," 01:34:07,241"
It's the Mind Stone.It's one of the six Infinity Stones.,"01:34:07,400 "," 01:34:09,971"
"The greatest power in the universe,","01:34:10,120 "," 01:34:11,360"
unparalleled inits destructive capabilities.,"01:34:11,480 "," 01:34:13,642"
 Then why would you bring... Because Stark is right.,"01:34:13,760 "," 01:34:15,728"
It's definitely the end times.,"01:34:15,920 "," 01:34:18,366"
The Avengers cannot defeat Ultron.,"01:34:18,560 "," 01:34:19,721"
Not alone.,"01:34:19,880 "," 01:34:21,120"
Why does your Vision sound like Jarvis?,"01:34:21,520 "," 01:34:23,443"
We reconfigured Jarvis's matrix,"01:34:23,560 "," 01:34:26,245"
to create something new.,"01:34:26,760 "," 01:34:28,524"
I think I've had my fill of new.,"01:34:28,760 "," 01:34:30,444"
You think I'm a child of Ultron.,"01:34:30,600 "," 01:34:32,887"
You're not?,"01:34:33,240 "," 01:34:34,526"
I'm not Ultron.,"01:34:35,680 "," 01:34:37,250"
I am not Jarvis. I am...,"01:34:37,880 "," 01:34:40,087"
I am.,"01:34:42,200 "," 01:34:43,611"
I looked in your head,"01:34:45,520 "," 01:34:46,646"
and saw annihilation.,"01:34:47,360 "," 01:34:49,124"
Look again.,"01:34:49,280 "," 01:34:50,645"
Her seal of approval means jack to me.,"01:34:50,760 "," 01:34:52,280"
"Their powers, the horrors in our heads,","01:34:52,760 "," 01:34:54,762"
"Ultron himself, they all camefrom the Mind Stone.","01:34:54,920 "," 01:34:56,968"
And they're nothingcompared to what it can unleash.,"01:34:57,120 "," 01:34:59,282"
 But with it on our side... Is it?,"01:34:59,440 "," 01:35:00,965"
Are you?,"01:35:02,400 "," 01:35:03,561"
On our side?,"01:35:04,440 "," 01:35:05,885"
I don't think it's that simple.,"01:35:07,760 "," 01:35:09,649"
"Well, it betterget real simple real soon.","01:35:09,800 "," 01:35:12,246"
I am on the side of life.,"01:35:13,400 "," 01:35:15,528"
Ultron isn't.,"01:35:15,760 "," 01:35:17,125"
He will end it all.,"01:35:17,720 "," 01:35:19,131"
What's he waiting for?,"01:35:19,280 "," 01:35:21,203"
 You. Where?,"01:35:21,360 "," 01:35:22,361"
Sokovia.,"01:35:22,800 "," 01:35:23,961"
"He's got Nat there, too.","01:35:24,080 "," 01:35:25,161"
"If we're wrong about you,","01:35:27,320 "," 01:35:28,970"
if you're the monsterthat Ultron made you to be...,"01:35:31,640 "," 01:35:33,640"
What will you do?,"01:35:34,160 "," 01:35:35,685"
I don't want to kill Ultron.,"01:35:42,320 "," 01:35:44,402"
He's unique and he's in pain.,"01:35:44,800 "," 01:35:48,122"
But that pain will roll over the Earth.,"01:35:49,680 "," 01:35:52,251"
"So, he must be destroyed.","01:35:52,800 "," 01:35:55,087"
"Every form he's built,every trace of his presence on the net.","01:35:55,320 "," 01:35:58,244"
We have to act now.,"01:35:58,520 "," 01:36:00,170"
And not one of uscan do it without the others.,"01:36:00,600 "," 01:36:04,525"
Maybe I am a monster.,"01:36:06,520 "," 01:36:08,443"
I don't think I'd know if I were one.,"01:36:08,600 "," 01:36:10,841"
"I'm not what you are,","01:36:12,000 "," 01:36:13,604"
and not what you intended.,"01:36:14,280 "," 01:36:16,442"
"So, there may be no wayto make you trust me.","01:36:17,200 "," 01:36:19,680"
But we need to go.,"01:36:19,960 "," 01:36:21,371"
Right.,"01:36:36,160 "," 01:36:37,321"
Well done.,"01:36:37,960 "," 01:36:39,200"
Three minutes.,"01:36:40,960 "," 01:36:42,007"
Get what you need.,"01:36:42,720 "," 01:36:44,370"
"Good evening, boss.","01:37:00,200 "," 01:37:01,247"
No way we all get through this.,"01:37:06,400 "," 01:37:08,084"
"If even one tin soldieris left standing, we've lost.","01:37:08,200 "," 01:37:10,280"
There's gonna be blood on the floor.,"01:37:11,000 "," 01:37:12,440"
I got no plans tomorrow night.,"01:37:12,480 "," 01:37:13,891"
I get first crack at the big guy.,"01:37:14,000 "," 01:37:15,320"
Iron Man's the one he's waiting for.,"01:37:15,760 "," 01:37:17,250"
That's true. He hates you the most.,"01:37:17,360 "," 01:37:19,761"
Ultron knows we're coming.,"01:37:25,080 "," 01:37:27,242"
Odds are we'll be riding into heavy fire.,"01:37:27,520 "," 01:37:29,727"
And that's what we signed up for.,"01:37:30,240 "," 01:37:31,969"
"But the people of Sokovia, they didn't.","01:37:32,240 "," 01:37:34,766"
So our priority,"01:37:35,880 "," 01:37:37,370"
is getting them out.,"01:37:38,080 "," 01:37:39,161"
We're under attack! Clear the city! Now!,"01:37:39,400 "," 01:37:42,324"
Get off your asses.,"01:37:50,120 "," 01:37:51,565"
All they wantis to live their lives in peace.,"01:37:52,800 "," 01:37:54,723"
And that's not gonna happen today.,"01:37:55,280 "," 01:37:56,640"
But we can do our best to protect them.,"01:37:58,280 "," 01:38:00,009"
And we can get the job done.,"01:38:00,720 "," 01:38:02,245"
"We find out what Ultron's been building,","01:38:05,640 "," 01:38:07,927"
"we find Romanoff,","01:38:08,880 "," 01:38:10,484"
and we clear the field.,"01:38:10,960 "," 01:38:12,803"
Keep the fight between us.,"01:38:14,240 "," 01:38:16,163"
Ultron thinks we're monsters.,"01:38:22,880 "," 01:38:25,281"
That we're what's wrong with the world.,"01:38:25,800 "," 01:38:28,201"
This isn't just about beating him.,"01:38:28,320 "," 01:38:30,641"
It's about whether he's right.,"01:38:31,160 "," 01:38:33,208"
Natasha!,"01:38:39,680 "," 01:38:40,727"
Natasha!,"01:38:41,840 "," 01:38:42,841"
Bruce?,"01:38:43,000 "," 01:38:44,081"
You all right?,"01:38:45,520 "," 01:38:46,521"
Yeah.,"01:38:46,680 "," 01:38:47,727"
The team is in the city.It's about to light up.,"01:38:47,840 "," 01:38:49,569"
I don't suppose you founda key lying around somewhere.,"01:38:49,680 "," 01:38:51,840"
Yeah. I did.,"01:38:52,160 "," 01:38:54,288"
So what's our play?,"01:39:00,680 "," 01:39:01,841"
I'm here to get you to safety.,"01:39:02,040 "," 01:39:03,405"
" Job's not finished. We could help with the evacuation,","01:39:04,160 "," 01:39:06,686"
but I can't be in a fight near civilians.,"01:39:06,840 "," 01:39:08,683"
And you've done plenty.,"01:39:10,040 "," 01:39:11,201"
Our fight is over.,"01:39:13,600 "," 01:39:15,090"
"So, we just disappear?","01:39:16,480 "," 01:39:18,721"
Come on.,"01:39:22,880 "," 01:39:24,723"
"Your man'sin the church, boss.","01:39:29,520 "," 01:39:31,761"
I think he's waiting for you.,"01:39:31,880 "," 01:39:33,723"
Come to confess your sins?,"01:39:37,800 "," 01:39:39,848"
I don't know. How much time you got?,"01:39:39,960 "," 01:39:41,200"
More than you.,"01:39:41,360 "," 01:39:42,850"
Have you been juicing?Little vibranium cocktail?,"01:39:45,240 "," 01:39:48,050"
You're looking...I don't wanna say puffy.,"01:39:48,160 "," 01:39:50,447"
You're stalling to protect the people.,"01:39:50,560 "," 01:39:52,289"
"Well, that is the mission. Did you forget?","01:39:52,680 "," 01:39:55,524"
I've moved beyondyour mission. I'm free.,"01:39:55,840 "," 01:39:58,320"
What?,"01:40:03,080 "," 01:40:04,127"
You think you werethe only one stalling?,"01:40:05,040 "," 01:40:07,361"
There's the restof the vibranium.,"01:40:08,080 "," 01:40:09,730"
"Function, still unclear.","01:40:09,840 "," 01:40:11,251"
"This is how you end, Tony.","01:40:11,440 "," 01:40:12,601"
This is peace in my time.,"01:40:13,880 "," 01:40:15,644"
Go!,"01:40:32,360 "," 01:40:33,407"
Get off the bridge!,"01:40:38,960 "," 01:40:40,291"
Run!,"01:40:44,440 "," 01:40:45,441"
Ultron.,"01:40:47,440 "," 01:40:49,249"
My Vision.,"01:40:54,760 "," 01:40:55,966"
They really did take everything from me.,"01:40:56,200 "," 01:40:58,487"
You set the terms.You can change them.,"01:40:58,640 "," 01:41:00,688"
All right.,"01:41:00,800 "," 01:41:02,040"
"Friday, the Vision?","01:41:26,240 "," 01:41:27,480"
"Boss, it's working.He's burning Ultron out of the net.","01:41:27,640 "," 01:41:29,800"
He won't escape through there.,"01:41:29,840 "," 01:41:31,040"
You shut me out.,"01:41:36,120 "," 01:41:37,451"
You think I care?,"01:41:37,920 "," 01:41:39,126"
"You take away my world,","01:41:41,120 "," 01:41:42,326"
I take away yours.,"01:41:43,200 "," 01:41:44,929"
Friday.,"01:42:29,480 "," 01:42:30,686"
Sokovia is going for a ride.,"01:42:30,800 "," 01:42:33,246"
Do you see,"01:42:45,760 "," 01:42:47,250"
the beauty of it?,"01:42:47,720 "," 01:42:49,245"
The inevitability.,"01:42:49,840 "," 01:42:51,683"
"You rise, only to fall.","01:42:51,920 "," 01:42:55,163"
"You, Avengers, you are my meteor.","01:42:57,920 "," 01:43:00,764"
My swift and terrible sword.,"01:43:01,680 "," 01:43:03,409"
And the earth will crack,"01:43:03,600 "," 01:43:05,090"
with the weight of your failure.,"01:43:05,280 "," 01:43:07,203"
"Purge me from your computers,turn my own flesh against me.","01:43:08,880 "," 01:43:12,646"
It means nothing.,"01:43:13,120 "," 01:43:14,531"
"When the dust settles,","01:43:15,600 "," 01:43:16,965"
the only thing living in this world,"01:43:17,120 "," 01:43:19,009"
will be metal.,"01:43:19,520 "," 01:43:20,521"
We gotta move.,"01:43:25,080 "," 01:43:26,650"
You're not gonna turn green?,"01:43:26,960 "," 01:43:28,080"
I've got a compelling reasonnot to lose my cool.,"01:43:28,280 "," 01:43:30,200"
I adore you.,"01:43:31,360 "," 01:43:32,646"
But I need the other guy.,"01:43:41,280 "," 01:43:43,203"
Let's finish the job.,"01:43:48,040 "," 01:43:49,804"
I really hope this makes us even.,"01:44:06,600 "," 01:44:08,011"
Now go be a hero.,"01:44:10,320 "," 01:44:12,368"
The vibranium core'sgot a magnetic field.,"01:44:20,840 "," 01:44:22,763"
That's what's keeping the rock together.,"01:44:22,920 "," 01:44:24,922"
If it drops?,"01:44:25,040 "," 01:44:26,087"
"Right now, the impactwill kill thousands.","01:44:26,160 "," 01:44:27,491"
Once it gets high enough?Global extinction.,"01:44:27,560 "," 01:44:30,291"
That building's not clear. The 10th floor.,"01:44:34,600 "," 01:44:36,682"
Hi.,"01:44:41,560 "," 01:44:42,561"
Okay. Get in the tub!,"01:44:43,680 "," 01:44:46,047"
"I got airborne,heading up to the bridge.","01:44:52,880 "," 01:44:54,723"
"Cap, you got incoming.","01:44:57,520 "," 01:44:58,726"
Incoming already came in.,"01:44:58,880 "," 01:45:00,530"
"Stark, you worry aboutbringing the city back down safely.","01:45:03,200 "," 01:45:05,680"
"The rest of us have one job,","01:45:06,400 "," 01:45:08,209"
tear these things apart.,"01:45:08,360 "," 01:45:09,521"
"You get hurt, hurt them back.","01:45:09,840 "," 01:45:11,444"
"You get killed,","01:45:12,120 "," 01:45:13,281"
walk it off.,"01:45:14,320 "," 01:45:15,606"
"Go, go, go!","01:45:50,040 "," 01:45:51,246"
How could I let this happen?,"01:45:56,920 "," 01:45:58,684"
" Hey, hey, you okay? This is all our fault.","01:45:58,800 "," 01:46:00,848"
"Hey, look at me.It's your fault, it's everyone's fault.","01:46:01,040 "," 01:46:03,240"
Who cares?,"01:46:03,280 "," 01:46:04,327"
Are you up for this?,"01:46:04,440 "," 01:46:05,965"
Are you?,"01:46:06,080 "," 01:46:07,161"
"Look, I just need to know.Because the city is flying.","01:46:07,400 "," 01:46:10,807"
"Okay. Look, the city is flying,we're fighting an army of robots,","01:46:11,120 "," 01:46:15,003"
and I have a bow and arrow.,"01:46:15,920 "," 01:46:17,126"
None of this makes sense.,"01:46:17,280 "," 01:46:18,361"
But I'm going back out therebecause it's my job.,"01:46:21,640 "," 01:46:23,768"
Okay? And I can't do my job and babysit.,"01:46:24,640 "," 01:46:27,291"
It doesn't matterwhat you did or what you were.,"01:46:27,440 "," 01:46:30,444"
"If you go out there, you fight,and you fight to kill.","01:46:30,640 "," 01:46:33,246"
"Stay in here, you're good.I'll send your brother to come find you.","01:46:34,280 "," 01:46:36,920"
"But if you step out that door,","01:46:36,960 "," 01:46:38,803"
you are an Avenger.,"01:46:39,720 "," 01:46:40,721"
All right. Good chat.,"01:46:45,600 "," 01:46:47,409"
"Yeah, the city is flying.","01:46:51,160 "," 01:46:52,207"
I got you!,"01:47:26,200 "," 01:47:27,361"
Just look at me!,"01:47:27,680 "," 01:47:28,920"
You can't save them all.,"01:47:35,680 "," 01:47:37,011"
You'll never...,"01:47:38,360 "," 01:47:39,407"
Never what? You didn't finish!,"01:47:40,680 "," 01:47:43,126"
"What, were you napping?","01:47:46,880 "," 01:47:48,450"
Thor.,"01:48:09,920 "," 01:48:11,001"
You're bothering me.,"01:48:13,600 "," 01:48:15,204"
"All right, we're all clear here.","01:48:50,600 "," 01:48:51,880"
We are not clear!,"01:48:51,960 "," 01:48:53,007"
We are very not clear!,"01:48:53,120 "," 01:48:54,531"
"All right, coming to you.","01:48:57,600 "," 01:48:58,931"
"Keep up, old man!","01:48:59,400 "," 01:49:01,482"
Nobody would know.,"01:49:03,240 "," 01:49:04,765"
Nobody.,"01:49:05,600 "," 01:49:06,647"
"The last I saw him,an Ultron was sitting on him.","01:49:08,600 "," 01:49:11,524"
"Yeah, he'll be missed,that quick little bastard.","01:49:11,640 "," 01:49:13,529"
I miss him already.,"01:49:13,600 "," 01:49:14,601"
Hold your fire!,"01:49:30,160 "," 01:49:31,321"
Romanoff!,"01:49:41,200 "," 01:49:42,247"
Thanks!,"01:49:42,760 "," 01:49:43,761"
The antigravsare rigged to flip.,"01:49:53,160 "," 01:49:54,764"
"Touch them, they'll gofull reverse thrust.","01:49:54,880 "," 01:49:57,042"
The city's not coming down slow.,"01:49:57,160 "," 01:49:58,605"
Spire is vibranium.,"01:49:58,720 "," 01:49:59,846"
If I get Thor to hit it...,"01:49:59,960 "," 01:50:01,086"
It will crack. That's not enough.,"01:50:01,360 "," 01:50:02,725"
The impact would still be devastating.,"01:50:02,840 "," 01:50:04,365"
Maybe if we can cap the other end.,"01:50:04,520 "," 01:50:05,880"
Keep the atomic action doubling back.,"01:50:06,040 "," 01:50:07,690"
That could vaporise the city.,"01:50:07,840 "," 01:50:09,205"
And everyone on it.,"01:50:10,200 "," 01:50:12,043"
The next waveis gonna hit any minute.,"01:50:17,880 "," 01:50:19,723"
" What do you got, Stark? Nothing great.","01:50:19,880 "," 01:50:21,848"
Maybe a way to blow up the city.,"01:50:22,640 "," 01:50:24,881"
"That'll keep itfrom impacting the surface,","01:50:25,000 "," 01:50:26,286"
if you guys can get clear.,"01:50:26,400 "," 01:50:27,447"
"I asked for a solution,not an escape plan.","01:50:27,720 "," 01:50:29,609"
Impact radiusis getting bigger every second.,"01:50:29,840 "," 01:50:32,730"
We're gonna have to make a choice.,"01:50:32,920 "," 01:50:34,285"
"Cap, these people are going nowhere.","01:50:35,040 "," 01:50:36,565"
 If Stark finds a way to blow this rock... Not till everyone's safe.,"01:50:37,400 "," 01:50:40,200"
Everyone up here versus everyonedown there? There's no math there.,"01:50:40,600 "," 01:50:43,604"
I'm not leaving this rockwith one civilian on it.,"01:50:43,840 "," 01:50:45,800"
I didn't say we should leave.,"01:50:45,840 "," 01:50:47,285"
There's worse ways to go.,"01:50:50,120 "," 01:50:51,929"
Where else am I gonna geta view like this?,"01:50:57,400 "," 01:50:59,846"
"Gladyou like the view, Romanoff.","01:51:00,720 "," 01:51:03,326"
It's about to get better.,"01:51:03,440 "," 01:51:05,044"
"Nice, right?","01:51:29,160 "," 01:51:30,366"
Pulled her out of mothballswith a couple of old friends.,"01:51:30,480 "," 01:51:32,926"
"She's dusty, but she'll do.","01:51:33,080 "," 01:51:34,730"
"Fury, you son of a bitch.","01:51:35,080 "," 01:51:36,525"
Ooh! You kiss your motherwith that mouth?,"01:51:36,680 "," 01:51:38,967"
"Altitude is 18,000 and climbing.","01:51:39,080 "," 01:51:41,287"
Lifeboats secure to deploy.,"01:51:41,440 "," 01:51:42,965"
"Disengage in three, two...","01:51:43,080 "," 01:51:45,765"
Take them out.,"01:51:46,960 "," 01:51:47,961"
This is S.H.I.E.L.D.?,"01:51:57,640 "," 01:51:59,165"
This is what S.H.I.E.L.D.is supposed to be.,"01:51:59,280 "," 01:52:01,726"
This is not so bad.,"01:52:03,400 "," 01:52:04,811"
Let's load them up.,"01:52:08,080 "," 01:52:09,411"
"Sir, we have multiple bogiesconverging on our starboard flank.","01:52:14,800 "," 01:52:18,641"
Show 'em what we got.,"01:52:19,000 "," 01:52:20,206"
You're up.,"01:52:20,560 "," 01:52:21,561"
Yes!,"01:52:26,840 "," 01:52:27,841"
Now this is gonna be a good story.,"01:52:28,080 "," 01:52:29,844"
Yup. If you live to tell it.,"01:52:32,480 "," 01:52:34,562"
You think I can't hold my own?,"01:52:34,720 "," 01:52:36,722"
"We get through this, I'll hold your own.","01:52:36,840 "," 01:52:38,440"
You had to make it weird.,"01:52:38,520 "," 01:52:40,363"
I got about 50 to 100 morecoming in after this group.,"01:52:45,200 "," 01:52:48,170"
Here we go. Here we go. Let's move.,"01:53:05,120 "," 01:53:06,531"
"Let's go, everyone!","01:53:06,880 "," 01:53:07,961"
Number six boat is topped and locked...,"01:53:10,480 "," 01:53:12,482"
Or stocked... Topped...,"01:53:12,600 "," 01:53:15,001"
It's full of people.,"01:53:15,520 "," 01:53:16,965"
Incoming!,"01:53:18,720 "," 01:53:19,801"
"Oh, God!","01:53:22,840 "," 01:53:23,887"
You thinkyou're saving anyone?,"01:53:34,400 "," 01:53:35,640"
I turn that key anddrop this rock a little early,"01:53:37,520 "," 01:53:39,522"
and it's still billions dead.,"01:53:39,680 "," 01:53:41,762"
Even you can't stop that.,"01:53:42,240 "," 01:53:43,401"
"I am Thor, son of Odin,","01:53:43,560 "," 01:53:45,961"
and as long asthere is life in my breast...,"01:53:46,080 "," 01:53:48,401"
I am running out of things to say!Are you ready?,"01:53:48,520 "," 01:53:52,081"
It's terribly wellbalanced.,"01:53:59,760 "," 01:54:00,886"
"Well, if there's too much weight,you lose power on the swing, so...","01:54:01,240 "," 01:54:04,722"
I got it. Create a heat seal.,"01:54:05,680 "," 01:54:08,331"
I could...,"01:54:08,760 "," 01:54:09,807"
I could superchargethe spire from below.,"01:54:09,880 "," 01:54:12,281"
Running numbers.,"01:54:12,440 "," 01:54:13,487"
A heat seal could workwith enough power.,"01:54:23,600 "," 01:54:25,284"
" Thor, I got a plan. We're out of time.","01:54:25,760 "," 01:54:27,762"
They're coming for the core.,"01:54:27,960 "," 01:54:29,166"
"Rhodey, get the rest of the peopleon board that carrier.","01:54:29,280 "," 01:54:31,089"
" On it. Avengers, time to work for a living.","01:54:31,240 "," 01:54:34,449"
 Are you good? Yeah.,"01:54:43,560 "," 01:54:44,800"
Romanoff.,"01:54:46,280 "," 01:54:47,327"
You and Banner better not beplaying hide the zucchini.,"01:54:47,480 "," 01:54:49,881"
"Relax, shellhead.","01:54:49,960 "," 01:54:51,041"
Not all of us can fly.,"01:54:51,440 "," 01:54:52,885"
 What's the drill? This is the drill.,"01:54:58,640 "," 01:55:00,324"
"If Ultron gets a handon the core, we lose.","01:55:00,480 "," 01:55:02,642"
Is that the best you can do?,"01:55:07,240 "," 01:55:09,242"
You had to ask.,"01:55:19,120 "," 01:55:20,690"
This is the best I can do.,"01:55:20,800 "," 01:55:23,121"
This is exactly what I wanted.,"01:55:23,240 "," 01:55:24,890"
All of you,"01:55:25,240 "," 01:55:26,571"
against all of me.,"01:55:26,680 "," 01:55:28,330"
How can you possibly hope to stop me?,"01:55:28,600 "," 01:55:30,807"
"Well, like the old man said...","01:55:31,680 "," 01:55:33,523"
Together.,"01:55:34,840 "," 01:55:35,841"
"You know, with the benefit of hindsight...","01:57:04,760 "," 01:57:07,161"
They'll try to leave the city.,"01:57:16,440 "," 01:57:17,441"
"We can't let them,not even one. Rhodey.","01:57:17,600 "," 01:57:19,284"
I'm on it.,"01:57:19,640 "," 01:57:20,721"
No. I didn't say you could leave.,"01:57:21,120 "," 01:57:22,485"
War Machine coming at you! Right...,"01:57:23,120 "," 01:57:25,202"
"Okay, what?","01:57:31,600 "," 01:57:32,965"
We gotta move out.Even I can tell the air is getting thin.,"01:57:33,200 "," 01:57:35,202"
You guys get to the boats.,"01:57:35,360 "," 01:57:36,646"
I'll sweep for stragglers.Be right behind you.,"01:57:36,800 "," 01:57:38,640"
 What about the core? I'll protect it.,"01:57:38,800 "," 01:57:41,246"
It's my job.,"01:57:43,040 "," 01:57:44,201"
Nat.,"01:57:45,320 "," 01:57:46,481"
This way.,"01:57:46,760 "," 01:57:47,761"
Get the people on the boats.,"01:57:52,160 "," 01:57:53,321"
I'm not going to leave you here.,"01:57:53,480 "," 01:57:54,481"
I can handle this.,"01:57:54,640 "," 01:57:55,687"
Come back for mewhen everyone else is off.,"01:57:58,000 "," 01:57:59,240"
Not before.,"01:57:59,480 "," 01:58:00,970"
You understand?,"01:58:01,600 "," 01:58:02,726"
"You know,I'm 12 minutes older than you.","01:58:03,760 "," 01:58:05,444"
Go.,"01:58:05,840 "," 01:58:06,921"
"Boss, power levels are way below...","01:58:08,480 "," 01:58:10,005"
Reroute everything.We get one shot at this.,"01:58:10,120 "," 01:58:12,282"
I know what I need to do.,"01:58:17,240 "," 01:58:18,526"
The dining room.,"01:58:18,840 "," 01:58:19,887"
